hour,day_of_week,month,demand_index,weather,event_nearby,driver_availability,competitor_price_index,trip_distance_km,is_holiday,surge_multiplier
16,3,2,2.06,0,0,0.98,0.97,6.93,0,1.0
3,4,9,43.35,0,0,1.013,1.003,3.65,0,1.7945
17,3,2,0.0,0,0,1.26,0.978,39.72,0,1.0
7,5,11,52.17,0,0,0.994,1.03,3.62,0,1.8635
3,0,2,45.81,1,0,1.042,0.965,26.45,0,1.9537
1,1,6,27.14,0,0,1.362,0.873,22.32,0,1.2056
5,4,10,54.73,0,1,1.017,0.895,31.14,0,2.2681
21,5,11,14.91,1,0,0.723,1.029,0.5,0,1.7716
9,5,1,57.54,0,0,1.453,0.874,5.24,0,1.5167
3,1,8,40.23,0,0,0.968,0.899,2.22,0,1.7117
21,3,1,0.0,2,0,0.859,1.149,3.94,0,1.7363
17,5,9,7.55,0,0,0.867,1.014,3.43,0,1.0623
11,2,4,30.79,2,1,0.95,1.06,15.9,0,2.6245
1,1,12,27.06,0,0,0.808,0.879,17.25,0,1.5128
9,5,3,61.21,0,0,1.06,1.059,0.5,0,1.8152
3,1,7,38.8,0,1,0.71,1.164,6.06,0,2.0936
13,1,8,5.02,0,1,0.692,1.107,3.89,0,1.595
15,4,12,0.0,0,0,1.394,1.213,2.41,0,1.0
14,3,5,12.48,0,0,0.435,0.934,4.32,0,1.5644
7,3,3,44.15,0,0,1.427,1.279,1.1,0,1.4721
13,4,4,17.33,2,0,1.023,0.945,5.8,0,1.9052
22,1,10,6.65,1,0,0.777,1.018,1.46,0,1.5678
7,1,6,47.06,0,1,0.655,0.803,4.18,0,2.3903
20,2,12,0.59,0,0,1.231,1.037,5.51,0,1.0
15,5,5,11.62,1,0,0.514,1.041,2.68,1,2.3829
12,1,4,22.57,0,1,1.309,0.915,18.33,0,1.6206
17,5,3,16.07,0,0,0.42,1.184,12.2,0,1.5598
14,0,6,18.55,0,0,1.471,1.267,6.01,0,1.0
20,5,7,3.55,1,0,0.973,1.138,20.36,0,1.2201
23,1,2,17.94,0,0,1.407,1.029,5.66,0,1.0536
12,2,6,30.82,1,0,0.675,0.981,26.96,0,1.871
8,0,3,58.61,1,0,0.97,0.616,6.08,0,2.2197
14,2,10,3.02,0,0,0.962,1.064,17.24,0,1.1779
12,5,8,30.14,0,1,0.796,0.982,4.81,0,1.8749
0,2,2,24.02,0,0,1.146,1.271,2.79,0,1.323
6,5,5,68.92,0,0,1.288,0.709,1.64,0,1.898
8,3,8,37.3,2,0,0.981,1.061,4.13,0,2.1964
23,5,9,32.18,0,0,0.843,0.884,16.99,0,1.6083
0,4,7,26.79,0,1,0.813,1.073,4.19,0,1.9651
11,2,9,30.64,0,1,0.767,1.077,2.25,0,1.9153
7,1,9,50.75,1,1,0.293,1.132,9.15,0,2.8607
23,3,8,6.83,0,1,0.168,1.057,2.71,0,1.9735
10,6,7,39.63,0,0,0.375,0.945,1.39,0,1.9889
18,0,6,0.0,2,0,0.74,0.895,5.36,0,1.903
16,5,12,10.02,2,0,0.697,0.961,0.88,0,1.9948
7,4,11,36.2,0,0,0.646,0.936,2.4,0,1.837
2,3,3,38.29,0,0,1.174,0.784,3.01,0,1.4964
2,2,8,41.77,0,0,1.041,0.981,1.5,0,1.8125
0,6,3,37.61,1,0,0.489,0.998,2.28,0,2.1072
4,6,11,67.52,0,1,1.036,1.006,2.83,0,2.4457
9,3,9,41.62,1,0,0.786,0.74,3.9,0,1.9173
6,1,9,47.94,0,0,0.917,0.742,10.11,1,2.261
8,1,10,55.34,2,0,0.812,0.891,1.02,0,2.4469
6,1,10,54.63,0,0,1.212,1.146,4.65,0,1.7368
8,4,9,38.46,2,0,0.1,1.166,2.03,0,2.9877
7,6,4,55.41,0,0,0.782,0.902,3.67,0,2.1238
11,3,9,37.77,1,0,1.264,1.132,3.72,0,1.7092
1,3,12,22.37,0,0,0.722,1.004,10.4,0,1.4163
0,6,2,31.91,1,0,1.04,1.125,2.46,0,1.8599
15,2,1,0.0,0,0,0.528,1.344,1.0,0,1.2755
22,0,8,19.21,0,1,0.748,1.29,4.25,0,1.7909
22,1,6,0.0,0,1,0.822,0.904,9.8,0,1.4795
23,0,11,14.98,2,0,0.969,0.919,3.76,0,1.8403
4,6,10,73.28,0,1,0.695,1.197,7.81,0,2.6966
2,6,9,56.53,2,0,0.827,0.806,2.78,0,2.75
11,0,9,30.46,0,0,0.559,1.024,14.7,0,1.9292
7,1,3,42.15,1,0,0.863,0.869,34.36,0,1.9406
21,1,2,0.0,1,0,1.064,0.889,2.41,0,1.3035
2,2,7,35.98,1,0,0.438,1.073,8.31,0,2.1028
0,4,5,18.6,2,1,0.925,1.042,8.71,0,2.4116
2,1,10,41.58,0,0,0.876,0.788,7.67,0,1.7385
4,0,6,61.31,1,0,1.232,0.956,11.27,0,2.024
14,6,5,21.5,0,1,0.915,1.089,9.4,0,1.6472
13,2,4,17.3,1,0,1.29,0.707,19.42,1,1.6856
2,3,1,34.65,0,1,1.033,1.087,0.5,0,2.0575
0,6,4,30.01,2,0,1.166,1.144,2.77,0,2.172
4,2,10,50.31,1,0,0.909,1.273,1.56,0,2.2937
22,1,3,0.0,0,0,0.439,1.172,5.58,0,1.3322
13,6,3,31.35,2,0,1.032,0.666,10.0,1,2.6455
6,5,5,56.14,1,0,0.996,1.135,2.69,0,2.1866
8,1,1,52.73,1,0,0.932,1.089,15.62,0,2.3902
14,4,11,0.0,1,0,0.694,0.812,5.3,0,1.6393
14,2,6,10.38,0,1,0.678,0.984,5.69,0,1.5549
9,1,2,54.31,0,0,1.065,1.019,11.92,0,1.8533
12,0,1,16.78,0,0,1.358,0.799,7.48,0,1.0029
18,0,11,0.0,0,0,1.086,0.853,1.69,0,1.0
6,2,8,49.07,0,0,1.237,1.052,7.75,0,1.6517
16,6,10,13.6,0,0,1.019,0.869,21.04,0,1.2801
19,4,3,0.0,2,0,0.831,0.867,12.47,0,1.9021
3,5,6,52.96,0,0,1.29,1.066,17.76,0,1.4961
4,2,2,56.24,0,0,0.739,0.784,1.38,0,1.925
22,4,5,5.76,0,0,0.976,0.94,10.98,0,1.1303
6,0,9,45.28,1,1,0.366,0.961,3.84,0,2.7436
12,1,7,16.69,0,0,0.75,1.328,2.72,0,1.3441
14,3,4,11.61,0,0,0.845,1.138,7.87,0,1.3538
10,1,3,43.56,0,0,0.592,1.217,3.65,0,1.9427
3,0,9,45.42,1,1,0.594,1.099,9.75,0,2.5721
12,5,4,40.51,1,0,0.605,0.793,3.76,0,2.039
6,6,5,55.79,1,0,0.721,1.156,1.28,0,2.3572
18,0,6,0.0,0,0,0.866,0.858,25.4,0,1.0926
21,1,10,3.98,0,0,0.809,0.886,3.58,0,1.2534
1,1,5,30.71,1,1,0.872,0.931,8.23,0,2.1684
9,5,9,56.73,1,0,0.979,0.963,0.5,0,2.272
12,5,1,25.37,1,0,1.003,0.914,38.19,0,1.7024
20,0,11,0.0,2,0,0.846,0.784,20.55,1,2.3645
5,1,6,32.57,0,1,1.029,1.159,1.86,0,1.8631
11,6,4,42.12,1,0,0.771,0.928,11.48,1,2.4346
11,3,4,25.71,0,0,1.19,0.948,1.73,0,1.2146
19,3,3,0.0,2,0,0.994,0.928,12.28,0,1.9276
10,2,5,34.57,0,0,1.136,1.161,6.79,1,2.1779
22,3,8,0.0,0,0,0.682,1.14,19.52,0,1.1196
6,0,4,47.24,1,0,1.057,0.991,3.53,0,1.953
0,0,7,7.1,0,0,1.008,0.904,13.0,0,1.0239
0,2,8,31.88,0,0,1.104,0.976,9.24,0,1.5313
19,6,5,0.0,1,0,1.122,0.964,60.0,0,1.2683
12,4,10,23.43,1,0,0.92,0.837,16.19,0,1.625
8,6,1,46.06,0,1,0.92,0.748,12.56,0,2.2599
2,2,8,34.51,1,0,0.839,1.219,1.92,0,2.0275
6,4,10,54.49,1,0,0.904,0.928,8.95,0,2.0554
5,4,3,49.31,1,1,0.72,1.169,8.1,0,2.7551
7,1,4,47.64,0,0,1.023,1.211,6.4,0,1.9325
8,5,10,52.65,2,0,0.779,1.058,1.78,0,2.5888
4,3,7,40.92,1,0,0.514,0.897,7.76,0,2.2043
0,6,9,38.86,1,0,0.665,0.863,21.33,0,2.1175
18,4,4,0.0,1,0,0.168,0.97,13.73,0,1.6311
9,1,4,53.81,1,1,0.891,1.023,13.76,0,2.5802
11,2,6,31.69,0,0,0.741,0.874,1.18,0,1.5314
23,2,9,30.74,0,0,0.698,0.876,2.76,0,1.7157
14,6,4,10.67,1,0,0.956,0.919,2.9,0,1.3175
21,6,10,0.0,1,0,0.564,1.054,2.34,0,1.6431
23,4,8,10.55,0,0,0.846,0.842,3.96,0,1.136
8,6,3,51.92,0,0,0.913,1.061,7.04,0,1.7918
19,1,2,0.0,1,0,1.175,1.231,10.44,0,1.2616
16,0,4,0.0,0,0,0.715,1.125,8.67,0,1.0974
16,6,4,17.9,1,0,0.659,0.728,10.08,0,1.6801
19,5,7,9.46,1,1,0.643,1.133,0.5,0,1.9568
11,5,7,30.73,2,1,0.292,1.18,5.21,0,3.039
6,3,9,50.32,1,1,0.527,1.212,2.72,0,2.7708
1,4,10,35.38,0,0,1.5,1.149,5.62,0,1.3367
2,0,2,43.45,0,0,1.027,0.908,3.25,0,1.667
16,3,4,0.0,0,0,1.444,1.17,27.3,0,1.0
4,0,3,44.1,0,1,0.785,0.953,0.69,0,2.0264
16,5,12,23.02,0,0,1.059,1.039,1.21,0,1.2499
23,1,3,9.52,0,0,0.8,1.043,0.5,0,1.2332
16,6,7,16.16,0,0,1.038,1.192,5.22,0,1.1846
16,4,12,4.38,0,0,1.204,1.029,17.97,0,1.032
1,0,10,37.97,1,0,0.892,0.71,3.63,0,1.8455
1,0,6,36.1,0,0,0.999,1.02,3.45,1,2.1272
21,0,3,4.25,1,0,0.999,1.031,10.31,0,1.3609
22,5,8,19.12,1,1,0.661,1.092,3.64,0,2.2005
4,4,8,52.15,2,0,0.916,1.193,0.5,0,2.4834
0,1,7,17.94,0,0,0.966,1.03,0.7,0,1.2311
0,1,9,28.32,0,0,1.285,1.076,5.01,0,1.2086
18,0,3,0.0,0,0,1.053,1.045,12.12,0,1.0
1,1,5,27.58,0,0,1.237,1.061,3.08,0,1.2217
20,3,6,0.0,0,1,0.941,1.081,1.49,0,1.1093
11,1,9,13.84,2,1,0.425,1.275,2.65,0,2.6991
5,0,4,42.53,2,0,0.431,1.397,1.42,0,2.8042
22,3,5,0.0,2,0,0.755,1.053,18.06,0,1.9701
3,4,9,36.88,2,0,0.956,1.052,15.74,0,2.1898
22,2,12,6.42,2,0,1.136,0.955,15.44,0,1.6351
10,5,11,58.39,0,0,0.831,1.135,6.64,0,1.9823
23,1,4,8.63,0,0,0.86,0.961,15.65,0,1.0709
16,6,2,0.0,0,0,1.179,1.129,12.76,1,1.4663
5,3,9,46.95,0,1,0.681,1.044,4.18,0,2.2314
23,2,11,20.44,0,0,1.235,1.167,12.57,0,1.1054
4,4,12,31.14,2,1,0.895,0.943,2.0,0,2.5473
19,2,3,0.0,0,0,1.195,1.099,3.47,0,1.0
1,4,11,26.16,0,0,0.907,1.259,3.82,0,1.4393
5,0,6,35.41,1,1,0.419,0.98,18.04,0,2.64
21,0,9,0.0,0,1,1.003,0.976,3.66,0,1.3922
10,5,3,60.94,0,0,1.231,1.147,0.88,0,1.8325
15,5,8,19.25,1,0,0.761,0.922,6.03,0,1.6217
15,4,9,0.0,1,0,0.853,0.997,5.45,0,1.5456
0,2,3,26.25,2,0,0.853,0.865,3.67,0,2.1554
8,5,3,63.04,2,0,0.503,1.333,2.09,0,2.8956
5,1,4,63.05,1,0,0.753,0.6,0.7,0,2.3668
15,2,1,0.0,0,0,0.964,0.812,12.49,0,1.0
2,5,2,42.8,0,0,0.697,0.887,0.61,0,1.6748
19,2,1,0.0,1,0,0.958,0.912,1.38,0,1.3283
3,6,3,58.82,0,0,1.225,0.864,24.23,0,1.6851
18,1,6,0.0,1,0,1.614,0.99,6.96,0,1.0
2,2,8,38.5,0,0,1.521,1.035,15.02,0,1.1925
18,2,5,0.0,2,0,0.659,1.004,6.27,0,1.9046
19,3,8,0.0,0,0,0.822,1.143,0.6,0,1.0362
6,4,6,59.42,0,0,1.208,1.138,3.03,0,1.8242
19,0,1,0.0,0,1,0.497,1.001,2.75,0,1.6746
8,5,3,68.95,2,0,0.833,0.867,11.02,0,2.8321
0,6,2,37.39,1,0,0.997,1.023,1.8,0,1.918
7,5,6,65.73,1,0,1.225,0.802,23.26,0,2.009
6,5,8,60.95,1,0,1.075,1.028,2.19,1,2.7886
17,4,6,0.68,0,1,1.014,1.042,0.5,0,1.3957
7,2,4,44.24,1,0,0.665,1.0,11.34,0,2.1467
0,1,4,21.82,1,0,1.072,0.911,4.59,0,1.5796
10,1,9,27.29,1,0,0.746,0.753,9.47,0,1.8256
17,0,1,0.0,1,0,0.847,0.772,3.6,0,1.4358
22,0,2,3.46,1,0,0.83,1.15,7.16,0,1.4495
9,0,4,45.33,0,0,1.099,0.987,13.01,0,1.8642
2,1,3,24.88,1,0,1.253,0.721,0.67,0,1.3449
6,2,9,42.39,0,0,1.372,0.756,13.62,0,1.3372
15,0,5,0.0,1,1,0.687,1.028,25.01,0,1.7873
15,0,8,0.82,0,0,1.387,1.107,0.5,0,1.0
19,6,4,7.04,2,0,0.491,0.914,3.28,0,2.0199
16,1,11,0.0,0,1,0.781,1.165,0.9,0,1.5107
1,5,4,36.99,0,0,1.132,0.653,11.64,0,1.467
0,2,10,9.51,1,0,0.795,1.232,44.1,0,1.6801
15,0,11,3.84,0,0,0.829,1.022,17.09,0,1.185
11,2,3,19.62,0,0,0.424,0.728,8.66,0,1.709
4,3,9,49.25,1,0,0.88,1.105,12.89,0,2.0327
4,5,10,48.94,0,0,0.763,0.691,17.58,0,1.9024
22,5,2,20.48,2,0,0.424,1.114,17.35,0,2.2975
8,0,11,55.91,1,1,0.344,0.732,3.37,0,2.7991
8,0,12,49.36,0,0,0.959,1.085,3.22,0,1.6714
2,6,11,50.67,1,0,0.718,0.983,6.52,0,2.2831
18,1,3,0.0,0,0,0.912,0.94,9.26,0,1.0
15,5,3,8.78,0,0,0.647,0.846,0.5,0,1.4492
15,6,11,8.17,0,0,1.033,0.877,5.42,0,1.1444
2,3,11,37.71,1,0,1.05,0.694,4.8,0,1.8284
19,3,3,0.0,1,0,0.76,1.066,7.56,1,1.9729
23,3,4,6.43,0,0,0.508,1.01,1.26,0,1.2684
21,4,5,0.0,0,1,0.673,0.957,10.2,0,1.5834
23,1,6,3.77,0,0,0.931,0.977,1.2,0,1.2005
0,1,5,26.82,0,1,1.073,0.962,26.96,0,1.6594
23,0,9,18.82,1,0,0.516,1.064,0.5,0,1.8128
19,1,7,11.46,0,0,1.129,1.273,24.23,0,1.0885
10,0,7,43.68,1,0,0.646,1.219,9.05,0,2.1492
16,6,7,11.88,0,0,1.001,0.89,9.47,0,1.1073
7,0,12,56.38,0,0,1.054,0.792,10.92,0,1.7458
3,4,11,32.68,1,0,0.929,1.028,30.54,0,1.7195
5,6,7,68.3,0,0,1.26,0.958,7.7,0,1.9326
7,1,2,47.91,0,0,0.8,1.269,11.11,0,2.1875
19,1,8,9.08,0,0,1.188,1.254,3.92,0,1.1635
2,4,12,44.86,1,0,1.378,0.772,2.61,0,1.5784
15,4,10,6.0,0,0,0.4,0.913,0.75,0,1.3827
2,6,1,42.62,0,0,1.129,1.194,10.72,0,1.7583
17,6,6,32.98,1,0,0.706,0.768,2.69,0,1.932
13,1,12,10.69,0,0,0.965,1.048,0.98,0,1.1109
17,1,11,0.0,0,1,0.793,0.921,3.1,0,1.5021
1,6,3,50.22,0,0,0.947,0.854,2.69,0,1.8501
21,0,6,0.0,0,0,1.019,1.052,1.34,0,1.0459
2,2,6,27.64,1,0,1.111,0.915,4.42,0,1.5384
15,5,8,7.63,1,1,0.955,1.099,16.52,0,1.7635
8,0,4,48.25,0,0,0.821,1.185,0.75,0,1.909
3,3,12,43.62,0,1,0.539,1.268,15.93,0,2.4341
0,3,3,15.12,0,0,1.049,0.984,8.86,0,1.1678
3,2,2,39.19,0,1,0.823,1.093,0.5,0,1.9967
0,5,12,10.62,0,0,1.114,1.024,8.79,0,1.1649
13,4,6,11.03,0,0,1.25,1.28,9.06,0,1.0691
20,3,3,0.0,1,0,1.197,0.999,9.17,1,1.6621
15,4,4,7.39,1,0,0.829,1.091,10.47,0,1.5891
19,4,9,0.0,0,0,0.939,1.173,1.04,0,1.0562
23,0,7,17.79,0,0,1.027,0.921,5.35,0,1.16
7,4,1,46.97,2,1,0.386,0.9,23.92,0,3.0869
6,2,4,66.56,0,0,1.155,1.217,0.5,0,2.0402
2,0,11,35.69,0,0,0.975,0.808,0.5,0,1.3098
16,2,8,0.0,0,0,0.758,1.166,5.48,0,1.296
0,4,10,12.7,2,0,1.04,1.333,3.69,1,2.5691
15,3,4,6.28,0,0,0.576,1.077,8.91,0,1.1923
11,5,1,46.14,1,0,0.94,0.89,1.82,0,2.0407
18,4,10,0.0,0,0,1.087,1.125,18.32,0,1.0446
21,2,2,0.0,0,0,0.762,1.074,0.9,0,1.2493
22,1,5,6.53,2,0,1.04,1.3,4.08,0,1.8174
21,1,6,10.86,0,1,1.101,1.121,14.89,0,1.4609
13,3,1,28.39,1,0,0.837,1.137,12.07,0,1.8587
5,6,5,73.29,1,0,1.053,0.999,16.78,0,2.3803
5,5,8,69.52,0,0,0.854,1.086,1.35,0,2.3318
12,2,8,11.08,0,0,1.076,0.944,11.7,0,1.1423
18,3,2,0.0,0,1,0.94,1.067,16.49,0,1.5856
21,0,9,0.0,0,0,0.592,1.124,0.5,0,1.2698
7,4,2,53.66,0,1,0.592,0.976,34.71,1,3.0155
1,6,4,41.59,1,0,0.996,0.777,2.18,0,1.9064
20,0,10,0.0,0,0,0.991,1.096,0.56,0,1.0
0,1,4,18.09,2,0,0.849,1.116,9.9,0,1.9502
14,4,4,0.0,0,0,1.18,1.014,11.65,0,1.0
0,0,7,16.28,0,0,0.985,0.864,13.02,0,1.2347
4,1,8,58.34,0,0,0.623,0.921,10.69,0,1.9942
15,5,8,24.34,0,0,0.709,0.994,3.71,0,1.5741
18,0,4,0.0,0,0,1.001,1.035,25.88,0,1.1024
3,4,4,53.7,0,1,0.658,0.955,3.13,0,2.4599
2,0,6,43.58,0,0,1.003,0.851,9.26,0,1.7239
16,6,9,5.28,1,0,0.481,0.904,11.15,0,1.5326
16,6,5,3.79,2,0,0.918,0.807,5.03,0,1.83
11,4,2,20.4,0,1,0.348,1.105,6.95,0,2.1704
13,0,9,10.56,0,0,0.963,1.187,7.6,0,1.3285
20,3,12,0.32,0,0,0.962,1.161,10.45,0,1.0
5,5,9,59.8,0,0,0.977,1.091,1.87,0,2.0279
2,0,11,27.44,0,0,0.492,0.716,20.4,0,1.6528
8,0,1,58.4,2,0,0.973,0.82,14.63,0,2.4732
4,6,9,65.19,0,0,0.962,1.008,10.4,0,1.9642
23,6,7,26.84,0,0,1.101,1.12,11.94,0,1.147
16,3,1,0.0,0,0,1.362,0.887,3.23,0,1.0
13,6,2,33.68,1,0,1.556,1.115,28.35,0,1.398
20,1,2,0.0,0,0,0.931,1.278,1.92,1,1.5318
2,4,8,36.53,1,1,0.968,0.926,1.08,0,2.246
0,2,1,26.46,0,1,0.717,0.707,11.33,0,1.9074
19,1,11,0.03,0,1,1.417,0.899,4.59,0,1.031
20,4,3,0.0,1,0,0.732,1.023,7.59,0,1.5671
22,0,1,13.61,2,0,0.766,1.106,18.08,0,2.1503
0,1,5,21.03,0,1,1.249,0.94,0.8,0,1.5744
2,0,4,38.39,0,0,0.822,0.887,8.0,0,1.7538
17,1,3,0.0,0,0,1.476,1.089,10.46,0,1.0
9,1,8,28.53,0,1,0.326,1.134,0.5,0,2.2843
21,2,12,14.1,0,0,0.557,1.172,0.5,0,1.6682
2,3,7,48.32,1,0,0.587,1.159,0.5,0,2.1664
7,1,4,33.57,1,1,0.516,1.097,17.65,0,2.5771
13,6,1,34.01,0,0,1.137,1.198,0.5,1,1.9697
23,0,7,8.6,0,0,1.074,0.94,2.96,0,1.2007
17,2,3,0.0,1,0,1.153,1.409,11.84,0,1.2893
14,1,5,0.0,1,0,0.548,1.166,4.54,0,1.6444
21,6,12,12.33,1,0,0.76,1.14,8.55,0,1.6219
22,3,8,8.9,0,0,0.444,1.112,6.93,0,1.6228
1,0,9,13.45,0,0,1.1,1.198,10.63,0,1.2106
9,2,10,30.39,0,0,0.99,0.924,13.14,0,1.5943
1,4,11,25.08,0,0,1.152,0.936,3.49,0,1.2382
16,5,10,0.0,1,0,1.195,0.954,7.98,0,1.1633
7,3,7,48.19,1,0,0.684,1.119,3.32,0,2.1962
0,6,6,33.3,0,0,0.856,1.196,8.68,0,1.3767
8,4,5,49.83,0,0,1.195,1.021,0.5,0,1.6462
10,4,5,39.61,0,0,0.995,0.776,0.99,0,1.7729
21,2,11,0.0,0,1,0.832,1.187,17.2,0,1.4866
15,2,4,5.77,0,1,1.111,0.695,2.1,0,1.2954
6,2,7,40.35,0,0,1.041,0.612,7.5,0,1.5118
9,6,1,48.52,1,1,0.248,1.085,12.14,0,2.8562
22,6,12,0.01,0,0,0.864,1.019,9.32,0,1.386
2,4,3,33.38,1,1,0.443,0.91,2.54,0,2.4129
17,5,6,16.9,0,0,0.414,0.867,1.84,0,1.5462
23,0,10,12.32,0,0,0.746,1.023,30.89,0,1.3874
12,2,1,12.27,0,1,0.228,0.608,3.59,0,2.0637
6,3,7,32.79,1,0,0.502,1.115,25.63,0,2.2611
3,2,2,26.32,0,0,1.0,1.0,5.62,0,1.3736
12,5,7,31.39,1,1,0.547,0.896,4.07,0,2.4152
19,2,4,0.0,0,0,0.974,0.758,4.8,0,1.0408
0,5,9,39.47,0,0,0.66,0.882,9.18,0,1.9274
7,2,5,59.41,0,0,0.59,0.995,14.76,0,1.9426
13,4,1,15.08,0,0,1.111,0.956,8.33,0,1.2792
15,5,12,9.25,1,0,1.206,0.77,5.92,0,1.3452
13,0,11,17.14,0,0,0.717,0.877,5.47,0,1.2701
11,2,4,32.03,0,0,0.943,0.953,0.5,0,1.6068
18,4,11,0.0,2,0,1.405,1.038,19.95,0,1.4476
22,3,4,0.0,0,1,0.547,1.045,6.76,0,1.5806
14,0,12,9.22,0,0,0.847,1.132,1.78,0,1.2721
1,4,4,32.59,0,0,1.03,0.798,2.3,0,1.3202
1,5,12,40.99,0,0,0.637,1.049,2.25,0,1.8399
22,1,3,0.0,2,1,0.796,1.014,2.87,0,2.1988
21,3,3,0.0,0,0,0.998,0.918,9.6,0,1.0
18,3,10,0.0,1,0,0.446,1.059,1.96,0,1.6351
21,1,5,5.98,0,0,1.192,0.907,1.19,0,1.0
21,4,5,0.0,1,1,1.105,1.213,6.37,1,2.2242
16,4,11,0.0,1,0,1.066,1.093,3.46,0,1.3524
19,6,2,3.04,1,0,0.705,0.729,8.81,0,1.3063
9,5,10,54.08,1,0,0.894,1.109,0.5,0,2.2183
5,3,12,62.71,1,0,1.069,0.805,5.88,0,2.2867
14,6,10,24.65,0,0,1.005,0.98,0.5,0,1.3605
21,4,9,0.0,1,0,0.866,1.038,16.08,0,1.4938
10,1,3,34.65,0,1,0.99,1.017,9.35,0,1.9245
4,6,4,49.7,0,0,0.743,0.975,2.11,0,1.7416
0,4,2,33.5,0,0,0.948,0.874,24.12,0,1.6356
7,3,8,59.59,1,0,0.734,1.048,0.9,0,2.2958
20,4,7,7.54,0,0,0.927,1.078,20.21,0,1.3313
11,0,3,13.61,0,0,1.141,0.909,10.49,0,1.0113
11,1,11,18.87,0,0,0.995,1.089,3.72,0,1.5092
4,1,11,39.22,0,0,0.889,0.928,2.56,0,1.7085
